hours_elapsed,surface_pct,beached_pct,evaporated_pct,dispersed_pct
0,100.0,0.0,0.0,0.0
1,93.92,0.0,6.08,0.0
2,81.95,0.0,18.05,0.0
3,80.51,0.0,19.49,0.0
4,80.31,0.0,19.69,0.0
5,80.15,0.0,19.85,0.0
6,80.02,0.0,19.98,0.0
7,79.9,0.0,20.1,0.0
8,79.81,0.0,20.19,0.0
9,79.73,0.0,20.27,0.0
10,79.66,0.0,20.34,0.0
11,79.6,0.0,20.4,0.0
12,79.54,0.0,20.46,0.0
13,79.47,0.0,20.53,0.0
14,79.42,0.0,20.58,0.0
15,79.38,0.0,20.62,0.0
16,79.34,0.0,20.66,0.0
17,79.3,0.0,20.7,0.0
18,79.25,0.0,20.75,0.0
19,79.18,0.0,20.81,0.0
20,79.11,0.0,20.89,0.0
21,79.04,0.0,20.96,0.0
22,78.95,0.0,21.04,0.0
23,78.87,0.0,21.13,0.0
24,78.78,0.0,21.22,0.0
25,78.71,0.0,21.29,0.0
26,78.64,0.0,21.36,0.0
27,78.58,0.0,21.42,0.0
28,78.53,0.0,21.47,0.0
29,78.47,0.0,21.53,0.0
30,78.41,0.0,21.59,0.0
31,78.34,0.0,21.66,0.0
32,78.28,0.0,21.72,0.0
33,78.22,0.0,21.78,0.0
34,78.16,0.0,21.84,0.0
35,78.12,0.0,21.88,0.0
36,78.09,0.0,21.91,0.0
37,78.05,0.0,21.95,0.0
38,78.01,0.0,21.99,0.0
39,77.97,0.0,22.03,0.0
40,77.93,0.0,22.07,0.0
41,77.9,0.0,22.1,0.0
42,77.86,0.0,22.14,0.0
43,77.83,0.0,22.17,0.0
44,77.8,0.0,22.2,0.0
45,77.77,0.0,22.23,0.0
46,77.75,0.0,22.25,0.0
47,77.72,0.0,22.28,0.0
48,77.67,0.0,22.32,0.0
49,77.63,0.0,22.37,0.0
50,77.57,0.0,22.43,0.0
51,77.51,0.0,22.49,0.0
52,77.45,0.0,22.55,0.0
53,77.39,0.0,22.61,0.0
54,77.33,0.0,22.67,0.0
55,77.26,0.0,22.73,0.0
56,77.2,0.0,22.8,0.0
57,77.14,0.0,22.86,0.0
58,77.07,0.0,22.93,0.0
59,77.0,0.0,22.99,0.0
60,76.94,0.0,23.06,0.0
61,76.88,0.0,23.12,0.0
62,76.83,0.0,23.17,0.0
63,76.77,0.0,23.23,0.0
64,76.72,0.0,23.28,0.0
65,76.68,0.0,23.32,0.0
66,76.64,0.0,23.36,0.0
67,76.61,0.0,23.39,0.0
68,76.59,0.0,23.4,0.0
69,76.57,0.0,23.42,0.0
70,76.55,0.0,23.44,0.0
71,76.52,0.0,23.48,0.0
72,76.49,0.0,23.51,0.0
