case_id,scenario_key,hours_elapsed,comparison_scope,compartment,opendrift_pct,pygnome_pct,abs_percentage_point_diff,comparable,comparable_reason
CASE_2016-09-06,light,24,budget_snapshot,surface,12.69,0.0,12.69,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,24,budget_snapshot,evaporated,87.14,0.0,87.14,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,24,budget_snapshot,dispersed,0.17,100.0,99.83,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,24,budget_snapshot,beached,0.0,0.0,,False,PyGNOME shoreline/beaching is not mapped to the canonical prototype_2016 shoreline workflow in this pilot.
CASE_2016-09-06,light,48,budget_snapshot,surface,12.63,0.0,12.63,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,48,budget_snapshot,evaporated,86.7,0.0,86.7,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,48,budget_snapshot,dispersed,0.67,100.0,99.33,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,48,budget_snapshot,beached,0.0,0.0,,False,PyGNOME shoreline/beaching is not mapped to the canonical prototype_2016 shoreline workflow in this pilot.
CASE_2016-09-06,light,72,budget_snapshot,surface,12.63,0.0,12.63,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,72,budget_snapshot,evaporated,86.7,0.0,86.7,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,72,budget_snapshot,dispersed,0.67,100.0,99.33,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,light,72,budget_snapshot,beached,0.0,0.0,,False,PyGNOME shoreline/beaching is not mapped to the canonical prototype_2016 shoreline workflow in this pilot.
CASE_2016-09-06,heavy,24,budget_snapshot,surface,77.55,77.75,0.20000000000000284,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,24,budget_snapshot,evaporated,22.43,22.25,0.17999999999999972,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,24,budget_snapshot,dispersed,0.02,0.0,0.02,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,24,budget_snapshot,beached,0.0,0.0,,False,PyGNOME shoreline/beaching is not mapped to the canonical prototype_2016 shoreline workflow in this pilot.
CASE_2016-09-06,heavy,48,budget_snapshot,surface,76.97,76.51,0.45999999999999375,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,48,budget_snapshot,evaporated,22.29,23.48,1.1900000000000013,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,48,budget_snapshot,dispersed,0.74,0.0,0.74,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,48,budget_snapshot,beached,0.0,0.0,,False,PyGNOME shoreline/beaching is not mapped to the canonical prototype_2016 shoreline workflow in this pilot.
CASE_2016-09-06,heavy,72,budget_snapshot,surface,76.97,75.84,1.1299999999999955,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,72,budget_snapshot,evaporated,22.29,24.16,1.870000000000001,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,72,budget_snapshot,dispersed,0.74,0.0,0.74,True,Matched budget fraction from stored OpenDrift/OpenOil and deterministic PyGNOME pilot outputs.
CASE_2016-09-06,heavy,72,budget_snapshot,beached,0.0,0.0,,False,PyGNOME shoreline/beaching is not mapped to the canonical prototype_2016 shoreline workflow in this pilot.
